County Name,Free/Reduced Lunch,Male Students,Female Students,Total Students,Full-Time Teachers,Student-to-Teacher Ratio
Appling County,554.6,1747,1716,3463,51,13.59
Atkinson County,347.75,825,805,1630,29,13.72
Bacon County,412.25,1096,1032,2128,40,13.15
Baker County,292.0,162,138,300,13,9.84
Baldwin County,599.71,2346,2356,4702,53,12.85
Banks County,360.2,1685,1564,3249,49,13.1
Barrow County,478.56,7594,7288,14882,65,14.12
Bartow County,421.39,9322,8981,18303,52,14.99
Ben Hill County,491.0,1528,1475,3003,45,13.93
Berrien County,398.8,1584,1490,3074,41,26.52
Bibb County,543.8,12109,11687,23796,41,14.67
Bleckley County,313.8,1341,1264,2605,35,15.42
Brantley County,344.14,1774,1629,3403,34,14.01
Brooks County,345.67,1071,1070,2141,26,13.74
Bryan County,328.5,5172,5049,10221,70,14.53
Bulloch County,437.94,5692,5549,11241,47,14.48
Burke County,798.0,2041,1949,3990,60,12.91
Butts County,593.2,1779,1785,3564,47,15.06
Calhoun County,212.5,539,503,1042,19,13.26
Camden County,358.42,4933,4590,9523,54,14.33
Candler County,463.25,1116,1085,2201,36,15.84
Carroll County,446.25,11200,10393,21593,46,17.38
Catoosa County,286.44,5375,5051,10426,51,12.81
Charlton County,302.5,888,798,1686,30,14.22
Chatham County,425.76,18473,17869,36342,45,13.52
Chattahoochee County,202.0,512,458,970,21,15.6
Chattooga County,323.25,2026,1876,3902,34,14.24
Cherokee County,328.08,21911,20602,42513,77,14.23
Clarke County,548.18,7661,7198,14859,52,13.85
Clay County,100.0,107,93,200,10,10.09
Clayton County,755.87,31580,31213,62793,58,15.79
Clinch County,310.33,642,609,1251,28,14.74
Cobb County,396.96,59651,57286,116937,64,13.62
Coffee County,538.67,3816,3722,7538,43,15.0
Colquitt County,588.69,4647,4183,8830,52,12.79
Columbia County,293.03,15036,14557,29593,60,15.56
Cook County,576.75,1607,1489,3096,60,12.91
Coweta County,296.32,12365,11963,24328,51,14.59
Crawford County,253.0,779,783,1562,30,13.29
Crisp County,592.0,1810,1781,3591,50,12.31
Dade County,241.5,1072,991,2063,35,14.29
Dawson County,237.29,2004,1902,3906,37,15.25
DeKalb County,488.61,52714,50802,103516,46,14.25
Decatur County,653.43,2412,2311,4723,45,18.86
Dodge County,369.0,1473,1341,2814,36,17.89
Dooly County,277.5,555,555,1110,20,inf
Dougherty County,592.86,6613,6430,13043,38,14.66
Douglas County,462.44,13255,12839,26094,46,14.82
Early County,556.0,869,799,1668,54,10.2
Echols County,377.0,468,423,891,30,15.04
Effingham County,428.15,7277,6770,14047,71,14.93
Elbert County,474.8,1548,1518,3066,43,14.17
Emanuel County,664.17,2103,1956,4059,52,13.1
Evans County,353.6,951,877,1828,33,13.1
Fannin County,294.0,1482,1317,2799,41,13.78
Fayette County,225.12,10513,9974,20487,58,13.89
Floyd County,389.6,8017,7555,15572,46,13.14
Forsyth County,180.31,27814,26263,54077,76,16.78
Franklin County,429.8,1817,1802,3619,50,14.22
Fulton County,386.75,71485,69519,140294,49,13.49
Gilmer County,501.4,2109,2004,4113,55,14.92
Glascock County,146.0,297,276,573,22,12.98
Glynn County,499.39,7409,7377,14786,53,14.84
Gordon County,425.47,5436,5120,10556,43,16.41
Grady County,629.29,2273,2132,4405,46,13.38
Greene County,328.4,1323,1266,2589,47,10.74
Gwinnett County,697.75,99854,95182,195036,85,14.71
Habersham County,302.54,3518,3280,6798,38,13.86
Hall County,429.96,18344,16977,35321,52,14.3
Hancock County,234.33,349,354,703,19,12.78
Haralson County,299.73,2900,2884,5784,36,15.87
Harris County,248.43,2938,2707,5645,51,15.5
Hart County,425.8,1897,1759,3656,48,15.25
Heard County,202.33,1130,1065,2195,24,inf
Henry County,438.06,21987,21430,43417,48,17.53
Houston County,489.86,15648,14983,30631,53,14.85
Irwin County,407.67,870,752,1622,41,13.05
Jackson County,310.11,8158,7711,15869,60,14.47
Jasper County,374.75,1324,1249,2573,42,15.6
Jeff Davis County,564.5,1599,1476,3075,50,15.59
Jefferson County,411.8,1061,998,2059,35,11.73
Jenkins County,356.33,616,530,1146,32,12.08
Johnson County,317.67,511,498,1009,26,12.91
Jones County,392.57,2667,2490,5157,50,14.61
Lamar County,438.25,1466,1354,2820,43,16.26
Lanier County,371.5,868,854,1722,30,14.5
Laurens County,553.43,4436,4290,8726,45,13.49
Lee County,357.88,3373,2960,6333,51,15.26
Liberty County,620.42,5387,5223,10610,51,17.43
Lincoln County,223.33,629,602,1231,28,14.24
Long County,754.25,2209,2134,4343,58,18.5
Lowndes County,668.0,10050,9690,19740,69,13.71
Lumpkin County,318.2,1924,1825,3749,51,14.5
Macon County,371.33,542,572,1114,24,15.99
Madison County,400.43,2634,2443,5077,52,13.36
Marion County,527.5,616,663,1279,40,16.17
McDuffie County,488.17,1632,1640,3272,38,13.75
McIntosh County,352.0,713,620,1333,32,13.48
Meriwether County,376.14,1185,1138,2323,25,11.3
Miller County,245.0,366,369,735,19,12.77
Mitchell County,403.5,1830,1751,3581,38,11.71
Monroe County,427.33,2414,2181,4595,59,12.95
Montgomery County,301.0,492,459,951,23,13.93
Morgan County,374.5,1809,1705,3514,60,14.56
Murray County,428.82,3542,3361,6903,43,14.08
Muscogee County,440.16,15101,14774,29875,36,14.75
Newton County,622.82,9521,9140,18661,50,16.31
Oconee County,90.45,4420,4111,8531,52,14.4
Oglethorpe County,311.0,1187,1024,2211,42,13.15
Paulding County,407.33,16159,15359,31518,61,14.95
Peach County,528.33,1985,1881,3866,43,14.66
Pickens County,305.17,2135,1989,4124,48,14.01
Pierce County,441.0,1851,1786,3637,49,14.76
Pike County,235.6,1874,1710,3584,48,17.37
Polk County,558.91,3956,3922,7878,47,14.17
Pulaski County,379.33,677,653,1330,30,15.09
Putnam County,602.0,1469,1509,2978,59,12.57
Quitman County,158.5,148,169,317,12,13.82
Rabun County,311.5,1142,1128,2270,44,12.92
Randolph County,279.0,575,553,1128,20,14.98
Richmond County,517.24,15654,14943,30597,39,13.56
Rockdale County,588.47,7942,7804,15746,62,12.75
Schley County,302.5,630,601,1231,43,14.3
Screven County,542.0,1060,988,2048,53,12.74
Seminole County,670.0,697,643,1340,50,13.32
Spalding County,483.5,4913,4650,9563,35,14.22
Stephens County,425.17,1930,1910,3840,46,13.6
Stewart County,135.67,206,201,407,12,11.37
Sumter County,667.17,2093,2110,4203,51,13.74
Talbot County,408.0,220,188,408,37,11.03
Taliaferro County,187.0,92,95,187,26,7.19
Tattnall County,563.2,1833,1758,3591,55,13.05
Taylor County,298.0,632,597,1229,26,11.96
Telfair County,353.5,803,783,1586,28,inf
Terrell County,261.75,559,491,1050,23,11.32
Thomas County,589.62,4386,4148,8534,50,12.87
Tift County,696.45,3918,3743,7661,47,14.2
Toombs County,492.11,2788,2597,5385,43,13.9
Towns County,200.67,545,457,1002,30,11.09
Treutlen County,456.0,505,515,1020,42,12.28
Troup County,480.89,6332,5948,12280,43,13.98
Turner County,396.33,606,583,1189,32,12.61
Twiggs County,126.33,371,346,717,20,11.89
Union County,297.2,1557,1467,3024,44,12.67
Upson County,863.25,2061,1999,4060,67,15.07
Walker County,328.94,5021,4657,9678,42,12.65
Walton County,367.26,8451,8047,16498,55,15.66
Ware County,528.2,3099,2884,5983,48,12.07
Warren County,219.67,319,343,662,20,11.27
Washington County,606.25,1398,1429,2827,47,14.99
Wayne County,486.25,2644,2528,5172,45,14.02
Webster County,122.5,130,135,265,12,11.88
Wheeler County,260.33,423,450,873,21,13.76
White County,391.86,3343,3065,6408,56,15.34
Whitfield County,433.06,10317,9682,19999,47,12.74
Wilcox County,347.67,633,555,1188,28,14.87
Wilkes County,255.6,656,614,1270,23,11.12
Wilkinson County,249.25,582,537,1119,20,13.62
Worth County,623.6,1569,1549,3118,40,16.76
